Vehicle_ID,Frame_ID,Total_Frames,Global_Time,local_x(m),local_y(m),v_Vel(m),v_Acc(m),H_v_Vel(m),H_v_Acc(m),Space_Headway(m),Time_Headway
719,1731,426,1118847152000,1.5268883999999998,11.0647752,10.794,0.0,,,20.817,1.93
719,1732,426,1118847152100,1.5213372,12.1438668,10.794,0.0,0.0555119999999975,,20.817,1.93
719,1733,426,1118847152200,1.515786,13.2232668,10.794,0.0,0.0555119999999997,1.1102230246251564e-14,20.817,1.93
719,1734,426,1118847152300,1.5102348,14.3026668,10.794,0.0,0.0555119999999997,0.0,20.817,1.93
719,1735,426,1118847152400,1.5046836,15.3820668,10.794,0.0,0.055512000000002,1.1102230246251564e-14,20.817,1.93
719,1736,426,1118847152500,1.4991324,16.4614668,10.794,0.0,0.0555119999999997,1.1102230246251564e-14,20.817,1.93
719,1737,426,1118847152600,1.4935812,17.5408668,10.794,0.0,0.0555119999999997,0.0,20.817,1.93
719,1738,426,1118847152700,1.4880300000000002,18.6202668,10.794,0.0,0.0555119999999975,1.1102230246251564e-14,20.817,1.93
719,1739,426,1118847152800,1.4824788000000002,19.699666800000003,10.794,0.0,0.0555119999999997,1.1102230246251564e-14,20.813916,1.93
719,1740,426,1118847152900,1.4769276,20.7790668,10.794,0.0,0.055512000000002,1.1102230246251564e-14,20.807748,1.93
719,1741,426,1118847153000,1.4713764,21.8584668,10.794,0.0,0.0555119999999997,1.1102230246251564e-14,20.807748,1.93
719,1742,426,1118847153100,1.4658252,22.9378668,10.794,0.0,0.0555119999999997,0.0,20.83242,1.93
719,1743,426,1118847153200,1.460274,24.0172668,10.794,0.0,0.0555119999999997,0.0,20.903352,1.94
719,1744,426,1118847153300,1.4547228,25.096358400000003,10.794,0.0,0.0555119999999997,0.0,21.014376,1.95
719,1745,426,1118847153400,1.4491716,26.1773004,10.781664,-0.21588,0.055512000000002,1.1102230246251564e-14,21.165492,1.96
719,1746,426,1118847153500,1.4436204,27.2554668,10.750824,-0.407088,0.0555119999999997,1.1102230246251564e-14,21.350532,1.99
719,1747,426,1118847153600,1.4380692000000002,28.3271568,10.726152,-0.194292,0.0555119999999975,1.1102230246251564e-14,21.547908000000003,2.01
719,1748,426,1118847153700,1.4488632,29.396688,10.726152,0.194292,0.1079399999999974,0.8172599999999752,21.739116,2.03
719,1749,426,1118847153800,1.461816,30.468378,10.74774,0.404004,0.1295280000000009,0.1079400000000174,21.92724,2.04
719,1750,426,1118847153900,1.4750772,31.5465444,10.778580000000002,0.2127959999999999,0.1326120000000008,0.0154199999999993,22.115364,2.05
719,1751,426,1118847154000,1.4883384,32.627178,10.794,0.0,0.1326119999999986,1.1102230246251564e-14,22.294236,2.07
719,1752,426,1118847154100,1.5012912,33.7071948,10.787832,-0.0771,0.1295280000000009,0.0154199999999882,22.423764,2.08
719,1753,426,1118847154200,1.5145524,34.7850528,10.784748,-0.040092,0.1326119999999986,0.0154199999999882,22.5132,2.09
719,1754,426,1118847154300,1.5275052000000002,35.8598268,10.815588,0.505776,0.1295280000000032,0.0154199999999771,22.55946,2.09
719,1755,426,1118847154400,1.5407664,36.9379932,10.911192000000002,1.40322,0.1326119999999986,0.0154199999999771,22.553292,2.07
719,1756,426,1118847154500,1.5500184,38.0337384,11.059224,1.75788,0.0925199999999981,0.2004600000000023,22.522452,2.04
719,1757,426,1118847154600,1.5675972,39.1535388,11.173331999999998,0.829596,0.1757880000000011,0.416340000000015,22.479276,2.01
719,1758,426,1118847154700,1.5814752,40.2859836,11.173331999999998,-0.829596,0.1387800000000005,0.1850400000000029,22.426848,2.01
719,1759,426,1118847154800,1.599054,41.4060924,11.059224,-1.75788,0.1757879999999989,0.1850399999999918,22.386756,2.02
